day,x,y,z
0,-1.4551945896036124E11,-3.615009579650697E10,8471322.958623562
1,-1.4034204975124722E11,-4.097495964113689E10,8542790.212782135
2,-1.3512005579658205E11,-4.578638427711319E10,8613639.168829711
3,-1.2985191437373251E11,-5.05817162993049E10,8683797.365384392
4,-1.245362465567029E11,-5.535803799117164E10,8753187.620878307
5,-1.1917191566533766E11,-6.011218426418173E10,8821728.880611174
6,-1.1375808999575761E11,-6.484077006514695E10,8889337.32372325
7,-1.0829430624497774E11,-6.954023233854346E10,8955927.7986038
8,-1.0278052926983667E11,-7.420688805363873E10,9021415.58953193
9,-9.721720309426952E10,-7.883700816849419E10,9085718.475148872
10,-9.16052877369229E10,-8.342690559074826E10,9148758.996035576
11,-8.594627674651022E10,-8.797303322085378E10,9210466.80638015
12,-8.024219146195297E10,-9.24720863016996E10,9270780.950912578
13,-7.449554994783015E10,-9.692110192424846E10,9329651.891462421
14,-6.8709311078006035E10,-1.0131754801261107E11,9387043.114280049
15,-6.2886796950584274E10,-1.056593946602622E11,9442932.181749541
16,-5.703159921655702E10,-1.099451623101353E11,9497311.146348663
17,-5.11474765315229E10,-1.1417394370872168E11,9550186.311080799
18,-4.523825090552902E10,-1.1834539936708475E11,9601577.38646536
19,-3.9307710191962845E10,-1.2245972891167734E11,9651516.147760103
20,-3.3359522527739056E10,-1.2651762276384285E11,9700044.730118755
21,-2.739716657976272E10,-1.3052019979042229E11,9747213.712426085
22,-2.1423879374764584E10,-1.3446893687747896E11,9793080.135443576
23,-1.5442621634493694E10,-1.383655959347672E11,9837705.580899065
24,-9.45605912252726E9,-1.4221215288477008E11,9881154.409451991
25,-3.4665576114611177E9,-1.460107319935028E11,9923492.2216481
26,2.5238113319336166E9,-1.4976354768762473E11,9964784.572425636
27,8.513256569641992E9,-1.534728549297674E11,1.0005095941560905E7
28,1.4500248208698074E10,-1.5714090837310333E11,1.0044488942836562E7
29,2.048349520742373E10,-1.6076992990810907E11,1.0083023744126309E7
30,2.646192152465012E10,-1.64362083829883E11,1.012075766713596E7
31,3.2434642130958923E10,-1.679194586528781E11,1.0157744936311862E7
32,3.840093981457703E10,-1.7144405453477625E11,1.0194036548904672E7
33,4.436024339323047E10,-1.7493777529863138E11,1.02296802409996E7
34,5.031210769041457E10,-1.7840242412601074E11,1.0264720527151464E7
35,5.6256195445163574E10,-1.818397021061834E11,1.0299198794174109E7
36,6.219226118935426E10,-1.8525120894827283E11,1.033315343267055E7
37,6.812013703540735E10,-1.886384452823922E11,1.0366619992938073E7
38,7.403972025990846E10,-1.9200281608501505E11,1.0399631354755227E7
39,7.995096253636305E10,-1.9534563485975586E11,1.0432217903100505E7
40,8.585386065579788E10,-1.986681282863257E11,1.0464407703986712E7
41,9.174844857155678E10,-2.0197144111812372E11,1.0496226676312212E7
42,9.763479061012831E10,-2.0525664116397964E11,1.0527698756967254E7
43,1.0351297570006186E11,-2.0852472423357886E11,1.0558846057447212E7
44,1.0938311248376497E11,-2.1177661896076672E11,1.0589689010976026E7
45,1.1524532519071867E11,-2.1501319144585434E11,1.0620246509688245E7
46,1.2109975016440744E11,-2.182352496786773E11,1.0650536031804498E7
47,1.2694653294841864E11,-2.2144354771974457E11,1.0680573759001669E7
48,1.327858258493704E11,-2.2463878962840982E11,1.0710374684355874E7
49,1.3861778590540146E11,-2.2782163313547092E11,1.0739952711347358E7
50,1.444425731988481E11,-2.3099269306365875E11,1.0769320744479388E7
51,1.502603494604615E11,-2.3415254450367935E11,1.0798490772092042E7
52,1.5607127692014896E11,-2.373017257562699E11,1.0827473941956496E7
53,1.6187551736584702E11,-2.4044074105247064E11,1.0856280630223697E7
54,1.676732313778489E11,-2.435700630652738E11,1.088492050427874E7
55,1.73464577710822E11,-2.4669013522619965E11,1.0913402580022942E7
56,1.7924971279995483E11,-2.4980137386032788E11,1.0941735274072519E7
57,1.850287903712643E11,-2.529041701530061E11,1.0969926451327914E7
58,1.908019611391517E11,-2.5599889196095566E11,1.0997983468332814E7
59,1.9656937257689798E11,-2.5908588547987048E11,1.1025913212807555E7
60,2.0233116874799786E11,-2.6216547677990723E11,1.1053722139708789E7
61,2.0808749018810663E11,-2.65237973219732E11,1.1081416304136198E7
62,2.1383847382896304E11,-2.6830366474904852E11,1.1109001391378013E7
63,2.1958425295699847E11,-2.7136282510880267E11,1.1136482744360244E7
64,2.253249572004824E11,-2.7441571293755188E11,1.116386538873974E7
65,2.310607125400208E11,-2.774625727918147E11,1.1191154055858605E7
66,2.3679164133804126E11,-2.805036360875794E11,1.1218353203756768E7
67,2.4251786238359018E11,-2.835391219695544E11,1.1245467036420818E7
68,2.4823949094935443E11,-2.865692381141886E11,1.1272499521430118E7
69,2.5395663885831387E11,-2.895941814719764E11,1.1299454406145884E7
70,2.5966941455785214E11,-2.92614138954087E11,1.1326335232574962E7
71,2.6537792319950702E11,-2.956292880679235E11,1.135314535102753E7
72,2.7108226672284253E11,-2.9863979750581635E11,1.1379887932676608E7
73,2.7678254394217883E11,-3.0164582769068945E11,1.1406565981117083E7
74,2.824788506351308E11,-3.0464753128220526E11,1.1433182343012786E7
75,2.881712796320875E11,-3.076450536465876E11,1.1459739717911867E7
76,2.938599209059191E11,-3.10638533293044E11,1.1486240667303298E7
77,2.9954486166132605E11,-3.1362810227945667E11,1.1512687622980572E7
78,3.052261864233559E11,-3.1661388658977875E11,1.1539082894772684E7
79,3.109039771247052E11,-3.1959600648536475E11,1.1565428677696962E7
80,3.165783131915003E11,-3.225745768322712E11,1.1591727058583423E7
81,3.2224927162731805E11,-3.2554970740639056E11,1.1617980022215864E7
82,3.2791692709526105E11,-3.2852150317812396E11,1.1644189457030868E7
83,3.3358135199794794E11,-3.314900645781522E11,1.1670357160412274E7
84,3.392426165553188E11,-3.3445548774573663E11,1.1696484843615336E7
85,3.449007888801864E11,-3.374178647608593E11,1.1722574136351794E7
86,3.505559350514912E11,-3.403772838614051E11,1.1748626591064377E7
87,3.562081191852405E11,-3.433338296464885E11,1.1774643686916728E7
88,3.6185740350312915E11,-3.462875832669387E11,1.1800626833522523E7
89,3.675038483988556E11,-3.492386226038729E11,1.1826577374435453E7
90,3.731475125021569E11,-3.5218702243621387E11,1.185249659041987E7
91,3.78788452740599E11,-3.5513285459793933E11,1.1878385702520156E7
92,3.8442672439916266E11,-3.5807618812578735E11,1.190424587494529E7
93,3.900623811776755E11,-3.610170893980855E11,1.1930078217783637E7
94,3.956954752461412E11,-3.6395562226531946E11,1.1955883789561661E7
95,4.0132605729802374E11,-3.6689184817300806E11,1.1981663599659003E7
96,4.069541766015451E11,-3.698258262774092E11,1.2007418610591294E7
97,4.125798810490567E11,-3.7275761355453973E11,1.2033149740170978E7
98,4.1820321720454675E11,-3.756872649029576E11,1.2058857863555523E7
99,4.2382423034934503E11,-3.786148332407178E11,1.20845438151915E7
100,4.294429645260871E11,-3.8154036959688696E11,1.2110208390662221E7
101,4.350594625809995E11,-3.8446392319796906E11,1.213585234844588E7
102,4.406737662045666E11,-3.87385541549571E11,1.2161476411590494E7
103,4.462859159706386E11,-3.903052705136127E11,1.2187081269311333E7
104,4.518959513740396E11,-3.932231543813636E11,1.2212667578515925E7
105,4.575039108667324E11,-3.961392359425677E11,1.2238235965261286E7
106,4.6310983189259607E11,-3.9905355655090015E11,1.2263787026147526E7
107,4.687137509208705E11,-4.0196615618598254E11,1.2289321329651553E7
108,4.7431570347832E11,-4.048770735121662E11,1.2314839417404285E7
109,4.799157241801676E11,-4.0778634593427985E11,1.2340341805414375E7
110,4.8551384675984827E11,-4.1069400965052405E11,1.2365828985241223E7
111,4.9111010409762933E11,-4.136000997026819E11,1.2391301425119728E7
112,4.9670452824814374E11,-4.165046500238044E11,1.2416759571039028E7
113,5.022971504668802E11,-4.194076934835187E11,1.2442203847777288E7
114,5.078880012356728E11,-4.223092619310963E11,1.2467634659894353E7
115,5.13477110287231E11,-4.2520938623641113E11,1.2493052392683992E7
116,5.1906450662874945E11,-4.281080963289064E11,1.2518457413087297E7
117,5.2465021856463495E11,-4.310054212346843E11,1.2543850070568653E7
118,5.302342737183877E11,-4.33901389111823E11,1.2569230697955647E7
119,5.3581669905367053E11,-4.367960272840193E11,1.259459961224417E7
120,5.413975208946006E11,-4.3968936227265027E11,1.2619957115369873E7
121,5.469767649452943E11,-4.425814198273396E11,1.2645303494947126E7
122,5.525544563086976E11,-4.4547222495511E11,1.2670639024976531E7
123,5.581306195047296E11,-4.483618019481981E11,1.269596396652202E7
124,5.637052784877686E11,-4.51250174410603E11,1.2721278568358524E7
125,5.692784566635071E11,-4.541373652834359E11,1.274658306759119E7
126,5.748501769052018E11,-4.570233968691335E11,1.2771877690247048E7
127,5.804204615693427E11,-4.599082908545951E11,1.2797162651840061E7
128,5.859893325107659E11,-4.6279206833329877E11,1.2822438157910453E7
129,5.915568110972317E11,-4.656747498264491E11,1.284770440453918E7
130,5.971229182234902E11,-4.685563553032064E11,1.2872961578838414E7
131,6.026876743248555E11,-4.714369042000433E11,1.2898209859418878E7
132,6.082510993903065E11,-4.743164154392732E11,1.2923449416834893E7
133,6.138132129751362E11,-4.771949074467919E11,1.2948680414007919E7
134,6.193740342131641E11,-4.80072398169071E11,1.2973903006629443E7
135,6.249335818285319E11,-4.829489050894407E11,1.2999117343543977E7
136,6.304918741470979E11,-4.8582444524369586E11,1.3024323567112977E7
137,6.360489291074457E11,-4.886990352350592E11,1.3049521813560428E7
138,6.416047642715223E11,-4.9157269124853156E11,1.3074712213300865E7
139,6.471593968349215E11,-4.9444542906465967E11,1.3099894891250571E7
140,6.52712843636824E11,-4.9731726407274835E11,1.3125069967122663E7
141,6.582651211696097E11,-5.001882112835439E11,1.3150237555706784E7
142,6.638162455881543E11,-5.030582853414131E11,1.317539776713409E7
143,6.693662327188208E11,-5.059275005360419E11,1.3200550707128188E7
144,6.7491509806816E11,-5.087958708136752E11,1.3225696477242693E7
145,6.804628568313295E11,-5.1166340978792E11,1.3250835175086042E7
146,6.860095239002416E11,-5.1453013075013055E11,1.3275966894534145E7
147,6.91555113871452E11,-5.173960466793958E11,1.3301091725931508E7
148,6.97099641053797E11,-5.2026117025214594E11,1.3326209756281381E7
149,7.026431194757899E11,-5.231255138513958E11,1.3351321069425466E7
150,7.08185562892785E11,-5.259890895756413E11,1.3376425746213753E7
151,7.137269847939181E11,-5.288519092474237E11,1.3401523864664976E7
152,7.19267398408831E11,-5.31713984421577E11,1.3426615500118172E7
153,7.248068167141893E11,-5.345753263931719E11,1.3451700725375831E7
154,7.303452524399987E11,-5.374359462051689E11,1.3476779610839076E7
155,7.358827180757294E11,-5.4029585465579504E11,1.3501852224635318E7
156,7.414192258762549E11,-5.431550623056535E11,1.3526918632738775E7
157,7.469547878676102E11,-5.4601357948457947E11,1.355197889908427E7
158,7.524894158525781E11,-5.48871416298252E11,1.3577033085674677E7
159,7.580231214161083E11,-5.517285826345724E11,1.3602081252682356E7
160,7.635559159305753E11,-5.545850881698188E11,1.3627123458544934E7
161,7.690878105608817E11,-5.574409423745868E11,1.3652159760055752E7
162,7.746188162694108E11,-5.602961545195234E11,1.367719021244927E7
163,7.801489438208346E11,-5.631507336808647E11,1.3702214869481722E7
164,7.856782037867825E11,-5.660046887457842E11,1.3727233783507315E7
165,7.912066065503745E11,-5.68858028417559E11,1.37522470055502E7
166,7.967341623106244E11,-5.717107612205625E11,1.3777254585372476E7
167,8.022608810867166E11,-5.7456289550509E11,1.3802256571538467E7
168,8.077867727221615E11,-5.774144394520222E11,1.3827253011475464E7
169,8.133118468888335E11,-5.802654010773364E11,1.385224395153116E7
170,8.188361130908947E11,-5.831157882364679E11,1.387722943702796E7
171,8.243595806686088E11,-5.859656086285298E11,1.3902209512314346E7
172,8.298822588020492E11,-5.888148698003956E11,1.3927184220813485E7
173,8.35404156514704E11,-5.916635791506503E11,1.3952153605069216E7
174,8.409252826769811E11,-5.94511743933414E11,1.3977117706789581E7
175,8.464456460096177E11,-5.973593712620453E11,1.4002076566888044E7
176,8.519652550869965E11,-6.002064681127262E11,1.402703022552252E7
177,8.574841183403717E11,-6.030530413279344E11,1.4051978722132351E7
178,8.630022440610078E11,-6.058990976198079E11,1.4076922095473332E7
179,8.68519640403234E11,-6.087446435734034E11,1.4101860383650908E7
180,8.74036315387417E11,-6.115896856498561E11,1.4126793624151638E7
181,8.795522769028542E11,-6.144342301894406E11,1.4151721853873024E7
182,8.85067532710591E11,-6.172782834145394E11,1.4176645109151794E7
183,8.905820904461622E11,-6.201218514325216E11,1.4201563425790716E7
184,8.960959576222639E11,-6.229649402385336E11,1.422647683908404E7
185,9.01609141631353E11,-6.258075557182073E11,1.4251385383841615E7
186,9.071216497481812E11,-6.28649703650287E11,1.427628909441177E7
187,9.12633489132262E11,-6.314913897091785E11,1.4301188004703017E7
188,9.18144666830275E11,-6.343326194674235E11,1.432608214820463E7
189,9.236551897784087E11,-6.371733983981008E11,1.4350971558006164E7
190,9.291650648046423E11,-6.400137318771584E11,1.4375856266815959E7
191,9.346742986309716E11,-6.428536251856776E11,1.4400736306978686E7
192,9.401828978755763E11,-6.456930835120718E11,1.4425611710491976E7
193,9.45690869054935E11,-6.485321119542227E11,1.4450482509022167E7
194,9.511982185858861E11,-6.513707155215557E11,1.447534873391923E7
195,9.567049527876371E11,-6.542088991370562E11,1.4500210416230887E7
196,9.622110778837246E11,-6.570466676392294E11,1.4525067586715981E7
197,9.677166000039263E11,-6.598840257840055E11,1.4549920275857108E7
198,9.732215251861246E11,-6.627209782465912E11,1.4574768513872555E7
199,9.787258593781263E11,-6.655575296232705E11,1.4599612330727577E7
200,9.842296084394369E11,-6.683936844331559E11,1.4624451756145038E7
201,9.897327781429916E11,-6.71229447119891E11,1.4649286819615427E7
202,9.952353741768457E11,-6.740648220533079E11,1.46741175504063E7
203,1.0007374021458236E12,-6.768998135310383E11,1.4698943977571152E7
204,1.006238867573128E12,-6.797344257800829E11,1.4723766129957756E7
205,1.0117397759019116E12,-6.825686629583365E11,1.4748584036215974E7
206,1.0172401324968109E12,-6.854025291560748E11,1.4773397724805078E7
207,1.0227399426454442E12,-6.882360283974E11,1.4798207224000584E7
208,1.0282392115598737E12,-6.910691646416494E11,1.482301256190064E7
209,1.033737944378034E12,-6.939019417847661E11,1.4847813766431957E7
210,1.0392361461651277E12,-6.967343636606346E11,1.487261086535533E7
211,1.0447338219149866E12,-6.995664340423818E11,1.4897403886270737E7
212,1.0502309765514042E12,-7.023981566436436E11,1.492219285662207E7
213,1.0557276149294353E12,-7.052295351197993E11,1.4946977803701466E7
214,1.061223741836667E12,-7.080605730691753E11,1.4971758754653294E7
215,1.0667193619944598E12,-7.108912740342164E11,1.49965357364778E7
216,1.0722144800591619E12,-7.137216415026292E11,1.5021308776034411E7
217,1.0777091006232941E12,-7.165516789084952E11,1.504607790004473E7
218,1.0832032282167095E12,-7.193813896333574E11,1.5070843135095233E7
219,1.0886968673077267E12,-7.222107770072786E11,1.509560450763967E7
220,1.0941900223042372E12,-7.250398443098738E11,1.5120362044001197E7
221,1.0996826975547888E12,-7.278685947713174E11,1.5145115770374242E7
222,1.1051748973496448E12,-7.306970315733254E11,1.5169865712826123E7
223,1.110666625921819E12,-7.335251578501134E11,1.5194611897298435E7
224,1.1161578874480898E12,-7.363529766893313E11,1.52193543496082E7
225,1.1216486860499897E12,-7.391804911329756E11,1.5244093095448814E7
226,1.127139025794775E12,-7.420077041782794E11,1.5268828160390792E7
227,1.1326289106963735E12,-7.448346187785813E11,1.529355956988232E7
228,1.1381183447163125E12,-7.476612378441729E11,1.5318287349249626E7
229,1.1436073317646257E12,-7.504875642431268E11,1.5343011523697188E7
230,1.1490958757007417E12,-7.53313600802105E11,1.5367732118307786E7
231,1.154583980334352E12,-7.561393503071473E11,1.53924491580424E7
232,1.160071649426263E12,-7.589648155044426E11,1.5417162667739976E7
233,1.1655588866892268E12,-7.617899991010807E11,1.5441872672117071E7
234,1.1710456957887576E12,-7.646149037657876E11,1.5466579195767367E7
235,1.1765320803439277E12,-7.674395321296436E11,1.5491282263161087E7
236,1.18201804392815E12,-7.702638867867842E11,1.5515981898644315E7
237,1.1875035900699412E12,-7.73087970295086E11,1.5540678126438214E7
238,1.1929887222536716E12,-7.759117851768359E11,1.5565370970638176E7
239,1.1984734439202976E12,-7.787353339193854E11,1.5590060455212891E7
240,1.20395775846808E12,-7.815586189757902E11,1.5614746604003353E7
241,1.2094416692532876E12,-7.84381642765435E11,1.5639429440721812E7
242,1.2149251795908848E12,-7.872044076746453E11,1.5664108988950668E7
243,1.2204082927552078E12,-7.900269160572834E11,1.5688785272141332E7
244,1.225891011980625E12,-7.928491702353336E11,1.5713458313613048E7
245,1.2313733404621848E12,-7.956711724994725E11,1.5738128136551684E7
246,1.2368552813562502E12,-7.984929251096278E11,1.5762794764008498E7
247,1.2423368377811208E12,-8.013144302955238E11,1.5787458218898896E7
248,1.2478180128176416E12,-8.041356902572161E11,1.5812118524001172E7
249,1.2532988095098013E12,-8.069567071656138E11,1.583677570195524E7
250,1.2587792308653167E12,-8.097774831629905E11,1.5861429775261378E7
251,1.264259279856207E12,-8.125980203634843E11,1.5886080766278962E7
252,1.2697389594193564E12,-8.15418320853587E11,1.5910728697225217E7
253,1.2752182724570654E12,-8.182383866926232E11,1.5935373590173978E7
254,1.2806972218375916E12,-8.210582199132178E11,1.5960015467054479E7
255,1.286175810395679E12,-8.238778225217552E11,1.5984654349650145E7
256,1.2916540409330793E12,-8.266971964988279E11,1.6009290259597424E7
257,1.297131916219061E12,-8.295163437996753E11,1.6033923218384642E7
258,1.3026094389909087E12,-8.32335266354614E11,1.6058553247350888E7
259,1.3080866119544143E12,-8.351539660694587E11,1.6083180367684936E7
260,1.313563437784358E12,-8.379724448259343E11,1.6107804600424202E7
261,1.3190399191249797E12,-8.407907044820791E11,1.613242596645374E7
262,1.3245160585904424E12,-8.436087468726404E11,1.615704448650528E7
263,1.329991858765286E12,-8.464265738094612E11,1.6181660181156306E7
264,1.3354673222048723E12,-8.492441870818594E11,1.6206273070829181E7
265,1.340942451435824E12,-8.52061588456999E11,1.6230883175790325E7
266,1.3464172489564517E12,-8.548787796802537E11,1.6255490516149422E7
267,1.3518917172371765E12,-8.576957624755629E11,1.62800951118587E7
268,1.3573658587209424E12,-8.605125385457814E11,1.6304696982712232E7
269,1.362839675823622E12,-8.633291095730208E11,1.6329296148345318E7
270,1.3683131709344155E12,-8.661454772189846E11,1.6353892628233895E7
271,1.3737863464162405E12,-8.689616431252971E11,1.6378486441694003E7
272,1.379259204606116E12,-8.717776089138247E11,1.6403077607881313E7
273,1.3847317478155393E12,-8.745933761869915E11,1.6427666145790696E7
274,1.3902039783308562E12,-8.774089465280883E11,1.6452252074255843E7
275,1.3956758984136235E12,-8.802243215015759E11,1.6476835411948944E7
276,1.401147510300966E12,-8.830395026533823E11,1.6501416177380413E7
277,1.4066188162059272E12,-8.858544915111935E11,1.652599438889867E7
278,1.4120898183178125E12,-8.886692895847395E11,1.6550570064689966E7
279,1.4175605188025276E12,-8.914838983660742E11,1.657514322277826E7
280,1.4230309198029102E12,-8.942983193298499E11,1.6599713881025154E7
281,1.428501023439056E12,-8.971125539335865E11,1.662428205712986E7
282,1.4339708318086392E12,-8.999266036179364E11,1.6648847768629236E7
283,1.439440346987227E12,-9.027404698069423E11,1.667341103289785E7
284,1.444909571028589E12,-9.055541539082921E11,1.6697971867148103E7
285,1.4503785059650005E12,-9.083676573135682E11,1.6722530288430393E7
286,1.4558471538075408E12,-9.11180981398492E11,1.6747086313633323E7
287,1.4613155165463872E12,-9.13994127523163E11,1.6771639959483953E7
288,1.4667835961511033E12,-9.168070970322955E11,1.6796191242548093E7
289,1.4722513945709216E12,-9.19619891255449E11,1.682074017923064E7
290,1.4777189137350227E12,-9.224325115072544E11,1.6845286785775963E7
291,1.483186155552808E12,-9.252449590876373E11,1.6869831078268293E7
292,1.4886531219141702E12,-9.280572352820359E11,1.6894373072632197E7
293,1.494119814689756E12,-9.30869341361615E11,1.6918912784633063E7
294,1.4995862357312283E12,-9.33681278583477E11,1.6943450229877617E7
295,1.5050523868715198E12,-9.364930481908682E11,1.6967985423814487E7
296,1.5105182699250852E12,-9.39304651413381E11,1.699251838173479E7
297,1.515983886688149E12,-9.421160894671536E11,1.7017049118772753E7
298,1.521449238938947E12,-9.44927363555065E11,1.7041577649906375E7
299,1.5269143284379673E12,-9.477384748669269E11,1.7066103989958096E7
300,1.5323791569281833E12,-9.505494245796725E11,1.709062815359552E7
301,1.5378437261352866E12,-9.533602138575409E11,1.711515015533213E7
302,1.543308037767913E12,-9.561708438522594E11,1.7139670009528074E7
303,1.5487720935178674E12,-9.589813157032216E11,1.7164187730390936E7
304,1.5542358950603428E12,-9.617916305376627E11,1.7188703331976548E7
305,1.559699444054137E12,-9.646017894708322E11,1.7213216828189816E7
306,1.5651627421418657E12,-9.674117936061624E11,1.723772823278558E7
307,1.570625790950172E12,-9.702216440354349E11,1.726223755936947E7
308,1.5760885920899329E12,-9.730313418389441E11,1.7286744821398817E7
309,1.5815511471564604E12,-9.758408880856572E11,1.7311250032183535E7
310,1.5870134577297031E12,-9.786502838333721E11,1.733575320488706E7
311,1.5924755253744414E12,-9.814595301288722E11,1.7360254352527272E7
312,1.5979373516404812E12,-9.842686280080786E11,1.7384753487977467E7
313,1.6033989380628435E12,-9.870775784962E11,1.7409250623967305E7
314,1.6088602861619521E12,-9.89886382607879E11,1.7433745773083787E7
315,1.614321397443818E12,-9.926950413473376E11,1.7458238947772253E7
316,1.61978227340022E12,-9.955035557085187E11,1.748273016033737E7
317,1.6252429155088835E12,-9.983119266752255E11,1.750721942294414E7
318,1.6307033252336567E12,-1.0011201552212593E12,1.7531706747618917E7
319,1.6361635040246829E12,-1.0039282423105542E12,1.7556192146250434E7
320,1.6416234533185708E12,-1.0067361888973098E12,1.7580675630590823E7
321,1.647083174538563E12,-1.009543995926122E12,1.760515721225666E7
322,1.6525426690946997E12,-1.0123516643321105E12,1.762963690272999E7
323,1.6580019383839827E12,-1.0151591950410458E12,1.76541147133594E7
324,1.6634609837905342E12,-1.0179665889694729E12,1.767859065536103E7
325,1.6689198066857551E12,-1.0207738470248333E12,1.7703064739819653E7
326,1.6743784084284805E12,-1.0235809701055848E12,1.7727536977689717E7
327,1.6798367903651313E12,-1.0263879591013202E12,1.7752007379796393E7
328,1.6852949538298662E12,-1.0291948148928824E12,1.7776475956836645E7
329,1.690752900144729E12,-1.0320015383524796E12,1.7800942719380274E7
330,1.696210630619795E12,-1.034808130343797E12,1.7825407677870978E7
331,1.7016681465533145E12,-1.0376145917221075E12,1.7849870842627406E7
332,1.7071254492318552E12,-1.0404209233343807E12,1.7874332223844208E7
333,1.7125825399304412E12,-1.0432271260193893E12,1.789879183159309E7
334,1.7180394199126907E12,-1.0460332006078147E12,1.7923249675823856E7
335,1.7234960904309512E12,-1.0488391479223508E12,1.794770576636547E7
336,1.7289525527264336E12,-1.0516449687778058E12,1.7972160112927068E7
337,1.734408808029343E12,-1.054450663981202E12,1.7996612725099027E7
338,1.7398648575590088E12,-1.0572562343318754E12,1.8021063612353984E7
339,1.7453207025240122E12,-1.060061680621572E12,1.8045512784047864E7
340,1.7507763441223118E12,-1.0628670036345442E12,1.8069960249420915E7
341,1.7562317835413677E12,-1.0656722041476443E12,1.809440601759871E7
342,1.761687021958264E12,-1.0684772829304175E12,1.8118850097593177E7
343,1.7671420605398286E12,-1.071282240745193E12,1.8143292498303596E7
344,1.772596900442753E12,-1.0740870783471738E12,1.8167733228517607E7
345,1.7780515428137075E12,-1.0768917964845254E12,1.8192172296912197E7
346,1.7835059887894583E12,-1.0796963958984622E12,1.8216609712054696E7
347,1.7889602394969795E12,-1.0825008773233335E12,1.8241045482403748E7
348,1.7944142960535667E12,-1.0853052414867083E12,1.8265479616310287E7
349,1.7998681595669463E12,-1.0881094891094575E12,1.8289912122018512E7
350,1.8053218311353848E12,-1.0909136209058368E12,1.831434300766683E7
351,1.8107753118477961E12,-1.0937176375835663E12,1.833877228128881E7
352,1.8162286027838472E12,-1.0965215398439102E12,1.8363199950814128E7
353,1.8216817050140623E12,-1.0993253283817551E12,1.8387626024069503E7
354,1.827134619599926E12,-1.102129003885687E12,1.841205050877961E7
355,1.832587347593985E12,-1.104932567038067E12,1.843647341256801E7
356,1.8380398900399475E12,-1.1077360185151052E12,1.846089474295804E7
357,1.8434922479727815E12,-1.1105393589869363E12,1.8485314507373728E7
358,1.848944422418813E12,-1.1133425891176897E12,1.850973271314067E7
359,1.8543964143958213E12,-1.1161457095655623E12,1.853414936748692E7
360,1.8598482249131338E12,-1.1189487209828884E12,1.855856447754385E7
361,1.8652998549717192E12,-1.1217516240162095E12,1.858297805034702E7
362,1.8707513055642793E12,-1.1245544193063418E12,1.8607390092837024E7
363,1.8762025776753396E12,-1.1273571074884438E12,1.863180061186034E7
364,1.8816536722813396E12,-1.1301596891920828E12,1.8656209614170145E7
365,1.88710459035072E12,-1.1329621650412998E12,1.868061710642717E7
